author;first trigram;second trigram;third trigram;fourth trigram;fifth trigram
MKGitHub;update readmemd fix;readmemd fix formatting;;;
Damian30;;;;;
XurongChi;;;;;
Antimeuh2433;fixed weird thing;weird thing in;thing in maincpp;;
Trinsdar;ores to be;mostly recipe stuff;recipe stuff for;stuff for ic2c;for ic2c end
purerosefallen;;;;;
mmniazi;update to new;to new assignment;new assignment structure;to new structure;
rileyjshaw;;;;;
zhagyilig;;;;;
garythemann;nuget config file;cleartext password support;password support on;support on linux;
Dids;;;;;
Shamamat;;;;;
vshcherbyna;threads1 score of;score of igel;of igel 221;64 popcnt vs;igel 221 0
yath;;;;;
lorengordon;merge pull request;bump githubcomgruntworkioterratest from;bumps version to;from 0190 to;0190 to 0191
mkals;;;;;
fxnoob;whatsapp web cli;web cli radhey;cli radhey radhey;radhey radhey and;radhey and new
rutum;;;;;
seastian;my commit message;;;;
pra-kri;;;;;
kaiorosa1;;;;;
crazyhottommy;add umap tsne;umap tsne compare;;;
joshcoales;fixing datetime checking;datetime checking download;checking download link;download link checking;link checking and
r4ndm;;;;;
lowjunen;found and fixed;and fixed an;fixed an issue;an issue with;issue with how
Paul-Davis;added code to;code to ignore;to ignore annotations;ignore annotations not;annotations not connected
huahaiy;deployed 779fd04 with;779fd04 with mkdocs;with mkdocs version;mkdocs version 104;
iwilliamson;c64_cassxml update bmxracersa3;new working clones;update bmxracersa3 actually;bmxracersa3 actually this;actually this contains
dotDecay;buildrecipe buildrecipe add;buildrecipe add rezept;add rezept hinzufügen;rezept hinzufügen unfinished;hinzufügen unfinished without
xuestrange;update _configyml test1;;;;
tommaso-sebastianelli;added toast after;toast after transaction;after transaction saveupdate;;
srinidhisrinivas;;;;;
angiechangpagne;scraping with node;;;;
jobhimain;git cloneshare commit;gas commit 12312019;commit 12312019 194730;;
RohitGarudadri;add status page;status page text;merge branch develop;branch develop into;page text constants
andresandrade12345;deploy changes to;changes to aws;;;
congfandi;change nama project;nama project android;project android studio;;
tduplantis83;changed home page;home page text;page text to;text to black;added more random
EvanBacon;convert to typescript;merge pull request;pull request 5;request 5 from;5 from evanbaconevanbaconemsinit
ColeEwert;full barns history;barns history added;;;
marichard;;;;;
sqeven;synchronizing completion at;completion at 20200101;;;
rjleveque;added testsparticles to;testsparticles to test;to test one;test one stationary;one stationary and
GarhomLee;;;;;
zydgbbs;;;;;
kmorgan8588;updates post route;post route to;route to accept;to accept a;accept a listing
ivanisinvesting;112020 84523 am;;;;
hanhau;button and text;and text render;text render complete;;
mrhdigital;speech systhesis css;links highlight works;speech systhesis html;systhesis css linked;
jason6833;;;;;
mandaringit;useactions 커스텀 훅;hooks vs connect;;;
dmontigny;working on web;on web scraping;web scraping real;scraping real estate;real estate completed
lihkg-boy;update 1804377json 20200101t004734851z;update 1805471json 20200101t004738733z;update 1805712json 20200101t004741480z;update 1805816json 20200101t004743681z;update 1785839json 20200101t004746859z
JessZuchowski;merge pull request;pull request 3;request 3 from;3 from jesszuchowskireadme_update;from jesszuchowskireadme_update updated
William-Lake;;;;;
camckin10;adding proper social;proper social media;social media urls;creating email message;
cameronshinn;fix about embed;added better reaction;better reaction handling;reaction handling still;handling still needs
fernandodof;add authentication and;authentication and send;and send signup;send signup email;
Alisonhardison;user can now;can now delete;now delete notecards;added tag button;
closedsum;wip updating naming;updating naming for;naming for data;for data related;data related items
tumhopaasmere;gas commit 12312019;git cloneshare commit;commit 12312019 195023;commit 12312019 195724;
crow1796;fix update link;;;;
andrewtdinh;install envcmd to;envcmd to use;to use gatsby;use gatsby playground;gatsby playground in
BhushanVasisht;update definition of;definition of n;;;
ssaavvaa;;;;;
web-media;get single route;revert get single;single route this;route this reverts;this reverts commit
tailaiw;added unit tests;unit tests for;tests for traintest;for traintest split;traintest split with
kunfayakun;git cloneshare commit;;;;
pawan2014;added a new;a new project;;;
certik;publishing site on;site on 20200101;on 20200101 004741;;
loreina;signedoffby dependabotbot supportdependabotcom;this update includes;from 131 to;from 41711 to;41711 to 41715
18nguyenl;add touch placement;;;;
ZhongGuiyong;add delete function;delete function for;function for delete;for delete the;delete the article
jasheloper;;;;;
AugustoCalado;update upper 2;upper 2 grammarmd;;;
luizirber;remove draff and;draff and smrs;and smrs crates;;
sramsay;added some more;some more information;more information to;information to the;to the forecast
AestheticSenpai;;;;;
turleypol;typo in no;in no sql;;;
gitanuj;add icontentprovider to;icontentprovider to access;to access contents;;
Codus1127;merge pull request;merge branch master;branch master into;added content to;content to meetupdetailsjsx
sdale28;messing with h;with h values;clean up extraneous;up extraneous code;
HaydnTrigg;;;;;
Shresth09;add bg img;;;;
chadmv;extract colored console;colored console class;add spaceswitching api;fix menu position;menu position bug
sballgirl11;;;;;
TurboTobiasDK;;;;;
whitfield-lyx;;;;;
ClumsyAdmin;add files via;files via upload;;;
ja-brouil;added unit screen;unit screen info;;;
JRWong1;retrieved calendar events;calendar events as;events as array;as array of;array of time
uqs;document osversion 1300072;osversion 1300072 gitsvnid;1300072 gitsvnid svnsshsvnfreebsdorgdochead53725;gitsvnid svnsshsvnfreebsdorgdochead53725 c2e8774fc49fe111b436862b2bbc8956;
rachelktyjohnson;hammer create phrase;create phrase class;;;
Spiedie;added rank progression;rank progression estimates;progression estimates and;estimates and times;
steveneale;coverage config file;code coverage reports;add coverage config;config file added;file added the
iphshin;add files via;files via upload;;;
euiciowr;;;;;
mannycortez;added who to;who to follow;to follow in;follow in backend;in backend api
winny28;automatically backed up;backed up by;up by learn;;
hasanabs;;;;;
madhuramh184;;;;;
fnando;add a more;a more aggressive;more aggressive bot;aggressive bot detection;bot detection strategy
jaredjj3;make getreauthaction more;getreauthaction more readable;create getteststore testing;getteststore testing util;test getreauthaction dispatches
TAG-Epic;readme licence and;licence and other;and other stuff;;
Wilba6582;add layouts to;layouts to instant60;use standard colors;make it more;it more understandable
huawenyu;;;;;
aavegmit;implemented tracking of;tracking of bounding;of bounding boxes;bounding boxes along;boxes along various
eladrinwizard1;;;;;
scob;implement dragging to;dragging to translate;to translate map;implement on scroll;on scroll for
xndcn;3 items update;4 items update;8 items update;;
foozmeat;dont use activitypub;use activitypub alias;;;
lm585;add files via;files via upload;;;
alisharifara;add files via;files via upload;;;
xLightling;to item drops;added subtle shading;subtle shading to;shading to item;item drops and
wz5mz;;;;;
enigio-timebeat;tb 20200101 004802;20200101 004802 utc;004802 utc 120085bfadd22d82651a153eac091bff50588ce9ec765d729946eb4e398ce01c;tb 20200101 005802;20200101 005802 utc
apan1121;auto add new;add new log;;;
Continuities;fix udp packet;udp packet format;;;
linuswaddell;;;;;
fzqk;;;;;
scodingjs;;;;;
zBash162;;;;;
DenisWASD;;;;;
skennicutt;added second test;second test blog;test blog post;updated blog headings;
m5x;added linuxsurface patches;linuxsurface patches for;patches for kernel;for kernel 54;
OnshowOnline;;;;;
rothso;insert isqs and;isqs and grades;and grades into;grades into bigquery;implement full sync
kishorereddy;fix code gen;;;;
guichard;;;;;
benmccormick;;;;;
dependabot-preview[bot];from 121218 to;121218 to 1312;signedoffby dependabotpreviewbot supportdependabotcom;bump typesnode from;typesnode from 121218
AstroWedge;add exceptions to;exceptions to be;to be used;be used in;used in main
jacob1;fix wild child;wild child getting;child getting notification;getting notification every;notification every night
caio-davi;removing unnecessary links;;;;
bwmccray;5 day temps;;;;
Jin0331;;;;;
clr2of8;first draft at;draft at dependencies;;;
nicolas15000;payer le moins;possible en fonction;en fonction dun;fonction dun régime;dun régime donné
yoshi-automation;updated googlecloudfirestorechangelogmd ci;googlecloudfirestorechangelogmd ci skip;updated googlecloudfirestorelibgooglecloudfirestoreversionrb ci;googlecloudfirestorelibgooglecloudfirestoreversionrb ci skip;
a6k5WI;;;;;
colebot;;;;;
zepumph;move jump alerts;jump alerts to;alerts to ruler;to ruler describer;ruler describer add
tonyofbyteball;add definition keyword;;;;
choirulihwan;beautify welcome page;;;;
JoseGarciaE;eliminated jquery and;jquery and cleaned;and cleaned code;cleaned code significantly;
lingthio;pre fontsize 08em;pre font size;font size 80;merge remotetracking branch;remotetracking branch originmaster
eyedotteecross;automatically backed up;backed up by;up by learn;;
bczhc;颜色选择器手动输入颜色十六进制 add gitignore;add gitignore file;gitignore file modify;file modify app;modify app icon
tthings;revert update terraria;update terraria windowsmd;terraria windowsmd this;windowsmd this reverts;this reverts commit
Mydesire;1 update androidsupport;update androidsupport add;androidsupport add recyclerview;add recyclerview add;recyclerview add update
LuisLoureiro;new content on;content on the;on the database;;
usernane;;;;;
bbertolani;add checkin module;checkin module update;module update routes;update routes models;routes models and
nwtgck;update update vuecliooo;update vuecliooo from;vuecliooo from 411;from 411 to;411 to 412
benjamin-t-wilson;;;;;
drakata;site v1 pushing;v1 pushing onai;pushing onai mvp;;
the-coffee-coder;;;;;
iso88591;ignore files init;;;;
ManlyMarco;added modified mcs;modified mcs that;mcs that ignores;that ignores access;ignores access modifiers
mostaphaRoudsari;update for the;for the latest;the latest release;latest release jan;release jan 1
xombiehamster;;;;;
skalavala;;;;;
choo;change style of;style of color;of color preview;color preview button;
fate0;wed jan 1;jan 1 084828;1 084828 cst;084828 cst 2020;
peterferrie;;;;;
locke-lunarg;aaaa changeid i3e82b159eacd4de43f631d462d66c9912412f5b3;;;;
diharaw;vulkan raytracing sample;raytracing sample progress;;;
ecrespo;generate pelican site;imagenes docker github;imagen docker de;docker de mongodb;
C5Hackr;;;;;
gabobaCS;added axios functionality;axios functionality added;functionality added cors;added cors headers;
Lucidreline;refactored the middleware;;;;
TerryHintz;;;;;
MCayetano;automatically backed up;backed up by;up by learn;;
MelbourneDeveloper;rename a project;a project and;project and decouple;and decouple from;decouple from polly
canihavesomecoffee;correct indentation again;check locally for;locally for the;for the file;the file presence
alexbuarque;;;;;
davidoc85;updated bricklet ir;bricklet ir v20;;;
ran-dall;update dataintegration from;dataintegration from 8200342;from 8200342 to;8200342 to 8300371;add duefocus 208
ccbogel;working on manual;on manual transcription;manual transcription functionality;transcription functionality for;functionality for av
4342315yc;updated taburelavant info;;;;
Laremere;;;;;
TokaMohsen;connect add asset;add asset with;asset with home;with home and;home and marketplace
alloy;definitionparser support minor;support minor version;minor version directories;package update tsjest;test fix failure
kalicki2k;from 433 to;433 to 444;from 3427 to;3427 to 3436;signedoffby dependabotbot supportgithubcom
mfuadmakarim;;;;;
xqrzd;update test net;test net core;net core runtime;multitarget new runtimes;new runtimes to
46bit;build docker containers;is triggered when;triggered when a;docker containers in;containers in concourse
wolfgangbecker;add feedback messages;;;;
brunoruviaro;implementing custom labels;custom labels functionality;;;
allinoneapps;cron update 1120;update 1120 124847;1120 124847 am;update 1120 125313;1120 125313 am
fabiomigliorini;upd modelo er;modelo er conforme;er conforme producao;;
ericpena;added preface category;;;;
yanonono;updated at 20200101;at 20200101 0048;20200101 0048 オリジナル3dキャラクターモデルユノン;0048 オリジナル3dキャラクターモデルユノン ver100;オリジナル3dキャラクターモデルユノン ver100 ラジアルウェブ
CheeseInTheDark;gun power is;power is no;is no adjustable;no adjustable by;adjustable by the
workout-contribution;2019 workout log;updated format2020 happy;format2020 happy new;happy new year;create 2019 workout
DanielBrito;thread da remoção;da remoção do;remoção do anúncio;do anúncio refatorada;modificação no swipe
b946c5a0bf547c89;site updated 20200101;updated 20200101 084837;updated 20200101 084947;updated 20200101 085811;
LakshBhambhani;basic setup but;setup but switching;but switching to;switching to quadruped;to quadruped cuz
jstac;;;;;
stevenandrewwallace;added metadata to;metadata to client;changed version number;;
BenJetson;create systemd power;systemd power manager;return error on;error on unknown;on unknown power
Oquendooo;adding blog a;blog a tag;a tag to;tag to the;to the site
bnebeker;ref add provider;add provider data;provider data serialize;data serialize df;
hfaerber;add maptoprops tests;maptoprops tests to;add maptoproptests for;maptoproptests for loginform;tests to moviecontainer
YavarYeganeh;add files via;files via upload;;;
qingshijiao;;;;;
weishian-wang;;;;;
Abdeeson;automatically backed up;backed up by;up by learn;;
initiald0824;;;;;
RameshNikhil;changed custom shape;custom shape to;shape to btn;to btn fix;btn fix double
lainsworth8801;code clean up;;;;
ETT-Tech;;;;;
cocahack;feat 2020년 1월;2020년 1월 1일;1월 1일 ps;1일 ps geeksforgeeks;ps geeksforgeeks stock
GianCastle;;;;;
confusdcodr;add kms encryption;bumps version to;version to 220;merge pull request;pull request 29
juankuquintana;refactor gem structure;;;;
AJInddev;ranveer tracker updates;tracker updates 20200101;updates 20200101 124859;;
systemovich;chore create blog;create blog skeleton;blog skeleton with;skeleton with gridsome;with gridsome the
bspain;prev next buttons;support for desktop;for desktop version;desktop version of;version of the
ixqifeba;adding install file;adding new poem;new poem echoes;;
joehink;soundcard hover effects;;;;
l33zy;;;;;
gfodor;added hubs cloud;hubs cloud look;cloud look and;look and feel;and feel doc
Hypercubed;;;;;
lhao03;merge branch somefontchanges;;;;
ttsubo;testcase for 5;for 5 10;5 10 chf;10 chf 10;testcase for 5510
allbombson;add files via;files via upload;rename resourcesviewsindexhtml to;resourcesviewsindexhtml to resourcesviewshomeindexhtml;
mcatanzariti;full support for;support for datamemberattribute;for datamemberattribute and;datamemberattribute and datacontractattribute;and datacontractattribute optin
mhkeller;add webgl layout;;;;
jdizz;update readmemd image;readmemd image size;;;
EnzoGabriel29;;;;;
FajsiEx;tag displaying to;displaying to propedit;saving note from;note from props;from props edit
compnerd;windows move swift;move swift options;swift options upto;options upto the;upto the pipeline
StrongMonkey;add rancher customization;;;;
mlevatich;read lighting data;lighting data from;data from file;;
talon;docsreadme more badges;docsreadme super important;super important final;important final badge;final badge lmfao
daydreams621;update links and;links and details;;;
freearhey;update grm3u updated;grm3u updated channel;updated channel name;channel name fixed;name fixed tvgid
bryantomoregie;automatically backed up;backed up by;up by learn;;
mjbradvica;moved data access;fixed products registration;;;
andrestor2;clase 117 ajuste;117 ajuste a;ajuste a nuevo;a nuevo servicio;
jloughry;quantum teleporation on;teleporation on chip;on chip in;chip in silicon;
plfiorini;merge branch develop;;;;
generalludd;add editing of;editing of banks;;;
singhvis29;;;;;
Melissa3199;commit on master;;;;
kyeokabe;;;;;
grdud;adding a change;a change to;change to conflict;to conflict with;conflict with user
BoboTiG;fix link to;link to requeststhreads;to requeststhreads on;requeststhreads on communityrecommended;merge pull request
adit313;automatically backed up;backed up by;up by learn;;
jtliames2013;;;;;
islaterm;;;;;
l021021;;;;;
adammohammed;add npm md;npm md spellchecker;;;
Waterdrips;remove unfinished post;;;;
michaelshen100;add playback selection;;;;
hackerkid;;;;;
G00364690;;;;;
beefsack;;;;;
ncolesummers;finished computerplay func;;;;
vineet-sinha;better naming and;naming and menu;and menu item;menu item active;improved menu formatting
EveningShade;merge remotetracking branch;remotetracking branch originmaster;branch originmaster conflicts;originmaster conflicts appsrcmainandroidmanifestxml;
psDevUK;mini funciton added;;;;
dipankar08;add files via;files via upload;;;
aisflat439;from 412 to;412 to 453;bump handlebars from;handlebars from 412;to 453 bumps
bshaan77;;;;;
DFortun81;fixed some bugs;some bugs with;bugs with the;with the soft;the soft reserve
dawsonc79;;;;;
JumHorn;reconstruct a 2row;a 2row binary;2row binary matrix;binary matrix beats;matrix beats 8947
takuya-takeuchi;merge branch featureshufflenetv2;branch featureshufflenetv2 into;featureshufflenetv2 into develop;merge branch featureyolov2;branch featureyolov2 into
OmarDarioMelendrez;agregando imagenes para;imagenes para la;para la pagina;la pagina de;pagina de github
Yochyo;;;;;
solarfluxx;other 11 added;11 added remove;added remove button;remove button to;button to lines
VoiceSC;more changes revision;changes revision 3;merge branch andrew;branch andrew of;andrew of httpsgithubcomlistvaletlistvalet
sirrom2005;;;;;
soru13;;;;;
kirahman2;;;;;
elijahc;added box_index and;box_index and started;and started fleshing;started fleshing out;fleshing out cli
MarcelWaldvogel;newly timestamped commits;timestamped commits up;commits up to;up to 20200101;to 20200101 002337
Alecfut07;;;;;
lianghu83;;;;;
vAporInside;;;;;
mathigatti;testing algorithm modifications;algorithm modifications and;modifications and adding;and adding color;adding color based
devmeist3r;;;;;
willdickson;worked on readwrite;on readwrite methods;readwrite methods for;methods for serialport_t;for serialport_t added
xxu04;;;;;
otherwise777;;;;;
razor-x;;;;;
andyblackwell;20200101 1249 am;1249 am facebook;am facebook main;facebook main 1;main 1 file
huanminwu;create leetcode_sort_iii_mergesort docx;create leetcode_sort_ii_lis docx;create leetcode_sort_i_heapsort docx;;
mhandipranata;the analysis result;analysis result images;result images have;images have been;have been added
Steamgjk;;;;;
doctor4t;add page amount;page amount tooltips;amount tooltips for;tooltips for books;add recipe to
umgi;allow transmission and;transmission and kodi;and kodi ports;;
ZanyHunter;merge pull request;add skeleton code;reorganize files and;files and folders;add sensor reset
folaulau;;;;;
traderres;works with formatting;;;;
pablobrady;static page generation;make dist directory;dist directory pushable;directory pushable to;pushable to host
Hugo7650;;;;;
Ivan-hdz;modifique las routes;estamos en problemas;;;
alyssaja7;;;;;
matthew46;updated gps added;gps added latitude;added latitude parsing;;
nerdlabs001;;;;;
jxs;fix typo in;typo in dir;in dir names;dir names embeded;names embeded embedded
David-Salazar;ml week 1;;;;
rejonpardenilla;refactor poll components;refactor to extract;to extract text;extract text area;text area component
mianos;dont abuse the;abuse the server;the server on;server on startup;
qwopweio15;;;;;
nuesslerm;;;;;
NedyUdombat;modified token colors;;;;
deerlord;;;;;
catskillsresearch;;;;;
liyunpeng;;;;;
howardn23;;;;;
tcreech;reported by github;by github watch;github watch releases;remove expired port;fix build on
cmsbuild;update data 202001010149;new report generated;report generated 202001010152;;
miretskiy;importccl improve handling;improve handling of;handling of transient;of transient errors;transient errors when
ropenscibot;registryjson and raw_cmjson;and raw_cmjson updated;;;
EvilArtist;ignore vscode setting;vscode setting folder;add code to;code to test;to test http
edsilv;use enums for;enums for events;for events states;events states and;states and actions
Nafia123;level 7 task;7 task 2;;;
mattbeachey;added file structure;;;;
Khlilo98;;;;;
michaelgalperin;removed boilerplate posts;;;;
ice201508;;;;;
bvillasen;updated makefile lux;makefile lux for;lux for particles_gpu;for particles_gpu testing;
Shougo;sources run black;merge pull request;pull request 163;request 163 from;163 from deopletepluginssyntaxblack
joshuaadampoirier;add vs code;vs code settings;code settings to;settings to gitignore;fix typo in
wgfxer;hometask_4 fixed bugs;;;;
IsabellaAguilera;;;;;
thecraftycoder;linking markdownmd to;markdownmd to readmemd;;;
mcrossen;bumped gem version;gem version to;version to 043;;
RichardPilarte;;;;;
blcksm1th1992;;;;;
deepscanbot;migration move polling;move polling to;polling to progress;to progress page;progress page update
mr-fufu;started work on;work on tiles;on tiles implemented;tiles implemented rule;implemented rule tiles
AWBog;banner tienda online;;;;
AspDev34;fixed undefined objects;undefined objects and;objects and the;and the targeting;the targeting issue
ZsZs;correct compillation failure;;;;
tikurahul;add a converter;a converter from;converter from the;from the old;the old format
psathyrella;forecasts pushed on;pushed on tue;on tue dec;tue dec 31;dec 31 164953
gmr;remove the aiorabbitchannelpy;the aiorabbitchannelpy stub;add a new;update the example;requirement updates update
milenaonmaui;use redirect for;redirect for incorrect;for incorrect meal;incorrect meal id;meal id and
V-ACODER;site updated 20200101;updated 20200101 084952;updated 20200101 085418;updated 20200101 085851;
kevinjliang;initial pytorch tutorial;pytorch tutorial materials;;;
sibnaray;;;;;
jeremyschlatter;playground add appengine;add appengine healthcheck;appengine healthcheck endpoint;;
locol23;choredeps update dependency;update dependency typescript;dependency typescript to;typescript to v374;merge pull request
Corvimae;add build steps;;;;
deanrexines;refine unet decaying;unet decaying lr;decaying lr scripts;lr scripts saving;scripts saving model
somenewsforyou;;;;;
jlp0422;chroe remove dist;chore add remove;add remove item;remove item functionality;
harryseong;fixed languages extraction;languages extraction bug;;;
reynaldoeg;;;;;
matosama;;;;;
joenoon;updated at 20200101t005005z;;;;
xuzhipengnt;;;;;
jazeee;add residuals prop;residuals prop upgrade;prop upgrade babel;upgrade babel and;babel and build
nukewatcher;;;;;
fumiyasac;;;;;
jpmattern;merge branch master;branch master of;master of githubcomjpmatternbayesian_cbiomes;removed ipynb_checkpoints directory;
anpaz-msft;;;;;
jdm7dv;;;;;
xianjimli;;;;;
sapphire-safiya;merge branch master;branch master of;master of githubcomsapphiresafiyaashishenterprise;;
why2lyj;auto commit 20200101;commit 20200101 085003;;;
CommanderRoot;;;;;
turgayh;;;;;
ericberman;svn 6899 allow;6899 allow for;allow for null;for null lastactivity;null lastactivity lastlogin
trimstray;add bed signedoffby;bed signedoffby trimstray;signedoffby trimstray trimstraygmailcom;;
xiongbingji;merge branch master;branch master of;master of httpsgithubcomw190601jdev3;;
ondesu0408;update on contact;;;;
Tearff;build and compile;and compile currently;compile currently nonsensical;currently nonsensical shader;nonsensical shader pairs
bote795;fix linting issue;add a general;a general type;general type for;type for providers
chrisdembia;;;;;
photosbyjeremy;the capture folder;capture folder in;new capture directory;capture directory can;directory can create
tph;changed pseg_arr to;pseg_arr to sap_dict;to sap_dict psa;sap_dict psa to;psa to sap
Saurabh722;updated auth ui;auth ui flow;updated sever proxy;;
tony-iqlusion;merge pull request;pull request 318;request 318 from;318 from iqlusionincanomalyv010;from iqlusionincanomalyv010 anomaly
petertodd;;;;;
sulimanfarzat;;;;;
Jose24San;updated the way;the way history;way history tab;history tab is;tab is handling
mediaRRrepo;;;;;
UnKnoWn-Consortium;;;;;
ll911;;;;;
nachoapps;manually approved es;;;;
tmaul;small tweak to;tweak to enable;to enable software;enable software gamma;software gamma in
tryp031;;;;;
poshea48;checking if parallax;if parallax fixed;parallax fixed on;fixed on mobile;on mobile added
Nintendroid1;assigned values to;values to fields;to fields in;fields in arrest;in arrest data
AYMafaza;a lot of;lot of change;;;
Alanfxx;;;;;
samsergey;started renaming for;renaming for figures;for figures code;;
wpears;set print styles;print styles to;styles to full;to full width;merge pull request
calebroseland;increase test coverage;upgrade ts374 and;ts374 and add;and add and;add and operators
edoapra;restrict np for;np for some;for some qas;some qas travis;qas travis skip
readywater;;;;;
kiang;auto update 20200101;update 20200101 085001;;;
orange451;potentially sped up;sped up parent;up parent changing;parent changing logic;changing logic in
ZZ12138-zjw;;;;;
Utshaw;;;;;
AZaruba;jumping implementation has;implementation has begun;has begun this;begun this commit;this commit encompasses
localheinz;fix remove possibility;remove possibility to;possibility to specify;to specify version;specify version via
withparadox2;add monitor service;;;;
cgCodeLife;create notemd changeid;notemd changeid if9d0b45b3ae82a9498fca4a9b2feff5713a21e3d;;;
jton307;set up session;up session flash;session flash message;flash message in;message in helper
centminmod;centminsh menu option;menu option 15;support in 12309beta01;default buffers in;buffers in 12309beta01
xmil9;stretch octave noise;octave noise range;noise range because;range because value;because value are
leedee1988;;;;;
scottrlarson;updated recovery and;recovery and about;;;
jschomay;now setlink can;setlink can lookup;can lookup a;lookup a target;a target via
rosslh;;;;;
dystroyer49ers;;;;;
gahgsp;added thrust sound;thrust sound effect;sound effect and;effect and improved;and improved movement
realmichaelnathan;renamed vote controller;vote controller function;;;
zloty60;finished statistics section;;;;
slovohrista;;;;;
AlanLang;;;;;
SuHwanLeee;;;;;
martindholmes;work on issue;on issue 23;;;
QidiLiu;old code collection;;;;
sangchi;revert update _rename_scripted_effectstxt;update _rename_scripted_effectstxt this;_rename_scripted_effectstxt this reverts;this reverts commit;reverts commit 8ff17b595cdec50984fb639d93fd9eaeaaa0147a
lynshi;;;;;
blai30;;;;;
mmmb1;;;;;
anmareeo;added color game;;;;
JWulf7;am able to;able to populate;to populate employee;populate employee reimbursement;employee reimbursement table
anggi1234;add files via;files via upload;;;
praharpatel;updated readme with;readme with sample;with sample terminal;sample terminal output;
rentry;from 412 to;412 to 453;bump handlebars from;handlebars from 412;to 453 bumps
cassandrabailey293;;;;;
koush;http server sent;server sent callback;;;
markentingh;updated rainbow logo;;;;
rickneff;rename files for;files for w20;for w20 semester;;
ldez;for kubernetes crd;closenotifier return pointer;return pointer instead;pointer instead of;instead of value
astrosaeed;able to find;to find obj;find obj but;obj but need;but need indexes
Dims-M;;;;;
ahtwq;;;;;
RajvirSingh12;update burlington countyjson;;;;
deathvango;add buttons to;buttons to send;to send random;send random input;random input signals
awy2020;add files via;files via upload;;;
cloudhwy;add common package;;;;
AndresZourelli;added travis and;travis and added;and added encrypted;added encrypted file;
jimbob666;add simple regression;simple regression analysis;;;
bcomnes;;;;;
luizgustavoob;ajustar consultas jpql;consultas jpql paginadas;jpql paginadas e;paginadas e corrigir;e corrigir validação
jeffrafter;;;;;
neithanmo;fixing plugins name;;;;
gioryanreyes;added mobile padding;mobile padding for;padding for better;for better reading;updated padding of
nulano;;;;;
K4rakara;upload code from;code from phone;;;
infamousjoeg;fix 83 split;83 split domain;split domain local;domain local queries;local queries for
GAierken;delete for review;for review worked;added museum id;museum id user;id user id
pjot;201624 both python;;;;
geekwise-deidra-wallert;update still working;still working on;working on getting;on getting my;getting my clients
Vemahk;menu rework menus;rework menus are;menus are now;are now handled;now handled differently
tonysrus;;;;;
billdwhite;simple undo redo;undo redo 2;;;
hangilc;;;;;
timcharper;update integration test;integration test to;test to use;to use expungeafterseconds;use expungeafterseconds 0
hrsh38;merge pull request;from hrsh38ghpages updates;merge branch master;branch master of;master of httpsgithubcomhrsh38hrsh38githubio
HectorRicardo;adding more fields;more fields to;fields to packagejson;;
zhouqiang-cl;update community section;community section and;section and other;and other fixes;other fixes 100
abalabahaha;create tostring functions;tostring functions for;functions for remaining;for remaining classes;remaining classes removes
stephenmac7;added marshmallow pudding;added link to;link to custard;;
sahsah1;added user controller;user controller dao;controller dao and;dao and service;and service layers
dstandish;update add docs;;;;
raja1982;;;;;
alexgig;enable page refresh;;;;
jyang81;;;;;
zaidaldossary30;;;;;
nathan-alden-sr;fixed contextflag bug;contextflag bug in;bug in dispose;in dispose updated;dispose updated packages
kleberbaum;;;;;
bradsherman;auto merge of;add real suggestion;real suggestion to;suggestion to option_map_unwrap_or;replace_consts lint documentation
hehaowen00;run slider_fill only;slider_fill only on;only on webkit;on webkit browsers;reduce scope access
clairedavies;update info for;info for sti;for sti using;sti using iioe;using iioe data
bharathwaj-sankara;controller scheduler kubelet;scheduler kubelet and;kubelet and proxy;;
schoinh;move blog post;blog post alert;post alert to;alert to bottom;improve mobile view
jparr721;make it stop;it stop yelling;;;
Underwaterr;improved environment variable;environment variable check;;;
haitdhn;removed files managed;files managed by;managed by codegen;generated code by;code by swaggerhub
CrazyJ36;toshiba rename installlisttoshibatxt;rename installlisttoshibatxt for;installlisttoshibatxt for uniform;for uniform names;uniform names across
cdmihai;log global properties;global properties in;properties in cache;in cache miss;cache miss error
josephrmoore;jumpy death stuff;;;;
akkapakasaikiran;happy new year;;;;
zackees;adds google site;google site map;;;
creepinson;;;;;
ttpcodes;;;;;
HermersonDev;;;;;
sandychad;;;;;
racarr01;last update 1951;update 1951 on;1951 on 31dec2019;;
samedelstein;;;;;
esta-rossa;add new files;;;;
sildur;add required option;required option in;option in mod_rewrite;in mod_rewrite section;mod_rewrite section adding
haibchen;miscallenous minor updates;minor updates since;updates since the;since the intial;the intial version
kinstaky;;;;;
LoCodes;automatically backed up;backed up by;up by learn;;
lamaks;merge branch master;report test runs;test runs in;runs in health;in health api
Harshith0307;program to reverse;to reverse an;reverse an array;;
Tegon-McCloud;cleanup of chess;of chess class;chess class and;class and minor;and minor fixes
OllyButters;test status update;status update for;update for dsbaseclientmaster;;
naagin;published from watson;from watson studio;;;
byko3y;;;;;
t1una;update env update;;;;
resthiana12;menambahkan nilai default;nilai default untuk;default untuk field;untuk field pengeluaran;
mattdeitke;fix brokenpipeerror caused;brokenpipeerror caused by;caused by ffmpeg;by ffmpeg writing;ffmpeg writing to
ka9cql;txlog changed nodedetection;changed nodedetection threshold;nodedetection threshold based;threshold based upon;based upon new
Bortseb;;;;;
fukuchi;added resource template;resource template column;template column and;column and sort;and sort selector
mbest32;add files via;files via upload;;;
csamak;add local bin;local bin to;bin to path;to path so;path so hoogle
